Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ;0;M; ;Complexo Acinetobacter baumannii; ; ; ;PR; ; ;NA; ;Cefoxitina;R;13;0.01;0.52
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;PR; ;M;NA; ;Piperacilina/Tazobactam;R;13;0.22;0.39
RN;0;M; ; ;Amicacina; ; ; ; ; ;PARDA;Klebsiella pneumoniae subsp. pneumoniae; ;S;13;0.01;2.64
 ; ; ; ; ;Ampicilina; ;13;PR;0;M;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0.23;10.59
 ;0;F;BRANCA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ; ; ; ; ;Cefotaxima; ;13;0.04;1.61
 ; ;M; ; ; ;S; ; ;0; ; ; ;Gentamicina; ;8;0.04;0.29
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;R;13;0;0
RS;0; ; ; ; ;S; ; ; ; ;NA; ;Cefepime; ; ;0.26;3.77
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Gentamicina;S; ;PR;0;M; ; ; ; ;11;0.02;1.71
 ; ;F;NA;Klebsiella pneumoniae subsp. pneumoniae;Cefazolina;I; ;RS;0; ; ; ; ; ;11;0.16;4.34
