Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ;0; ;NA; ;Cefepime; ;13;RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0.61;19.44
 ;0;F; ;Acinetobacter baumannii;Colistin; ; ;GO; ; ;NA; ; ;S;12;0.0;0.88
 ;0;M; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;12;RS; ; ;NA; ;Cefoxitina;R; ;0.19;3.64
 ;0;M; ;Mycobacterium sp.;Isoniazida; ; ;MS; ; ;NA; ; ;R; ;0.03;11.42
RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ; ; ; ; ;13;10.38;57.79
 ; ;M;NA;Klebsiella oxytoca;Cefotaxima;R;13;RS;0; ; ; ; ; ; ;0.02;59.57
 ;0;M; ;Klebsiella pneumoniae subsp. pneumoniae;Meropenem;S;13;RN; ; ; ; ; ; ; ;0.03;21.82
GO; ;M;NA;Acinetobacter baumannii;Sulfametoxazol/trimetoprim;S; ; ;0; ; ; ; ; ;13;0.01;39.13
 ;0; ;PARDA;Klebsiella pneumoniae subsp. pneumoniae;Meropenem;S;13;RN; ; ; ; ; ; ; ;0.01;70.59
 ;0;F;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;RS; ; ; ; ;Gentamicina; ;13;0.45;2.24
