Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
RS; ;M;NA; ; ;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ertapenem; ; ;0.68;4.85
RS;0; ;PARDA; ;Tigeciclina;I; ; ; ;F; ; ; ; ;13;0.79;21.1
 ;0;M; ;Klebsiella oxytoca; ;S;13;RJ; ; ;PRETA; ;Piperacilina/Tazobactam; ; ;0.0;0.25
 ;0;M; ;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ; ;RS; ; ;PARDA; ; ;R;13;0.0;0.07
RS; ;F;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ; ; ;Colistin; ;13;0.24;1.39
PR;0; ;NA; ;Ciprofloxacina;R;12; ; ;F; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;0.05;29.58
AC; ;F;NA;Acinetobacter baumannii; ;S;13; ;0; ; ; ;Amicacina; ; ;0.03;16.42
PR;0;M; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ; ; ;NA; ;Meropenem;R;13;0.23;3.15
 ; ;M; ;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ;13; ;0; ;NA; ; ;R; ;1.0;93.62
RS; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ; ; ; ; ; ;32.22;99.8
