Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ;0;F;PRETA;Klebsiella pneumoniae subsp. pneumoniae;Ertapenem;R; ;RS; ; ; ; ; ; ;12;0.0;14.81
MG;1; ; ;Acinetobacter sp.;Gentamicina;R; ; ; ;F;BRANCA; ; ; ;12;0.04;1.0
RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae;Imipenem;R; ; ;0; ;NA; ; ; ;8;0.03;3.01
RS; ;F; ;Acinetobacter baumannii;Ciprofloxacina;R; ; ;0; ; ; ; ; ; ;0.27;99.52
RS; ; ; ; ; ;R;13; ;0;F;NA;Acinetobacter baumannii; ; ; ;1.95;7.7
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;RS; ;M;NA; ;Ampicilina;R; ;0.72;2.23
 ;0; ; ; ;Cefoxitina; ;13;RS; ;M;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0.61;32.31
PR;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13; ; ;F;NA; ;Ciprofloxacina;R; ;0.2;2.91
RJ; ;M; ; ;Cefotaxima;R;13; ;0; ;NA;Acinetobacter baumannii; ; ; ;0.01;60.0
 ;0;F;NA; ; ;R;13;PR; ; ; ;Complexo Acinetobacter baumannii;Gentamicina; ; ;0.02;0.12
