Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R;7;RS; ;M;NA; ; ; ; ;0.49;40.28
 ; ; ;NA; ;Ciprofloxacina;R; ; ;0; ; ; ; ; ;10;0.21;3.79
GO; ;F; ;Acinetobacter lwoffii; ;S;11; ;0; ;NA; ;Meropenem; ; ;0.0;18.18
 ;0; ;BRANCA; ;Piperacilina/Tazobactam; ;12;RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0.04;31.1
PR;0; ;NA; ;Ampicilina/Sulbactam; ; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;1;0;0
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Amicacina; ; ;RS; ;M;NA; ; ;S;13;0.67;18.94
 ; ; ; ; ; ; ; ;PR;0;F; ; ;Tobramicina; ;13;0;0
PR; ; ; ; ; ; ;13; ;0; ;NA;Complexo Acinetobacter baumannii; ;S; ;0.38;4.04
 ;0; ;BRANCA; ; ;R; ;RS; ;F; ;Acinetobacter baumannii;Tobramicina; ;13;0.03;0.28
 ;0; ;BRANCA;Klebsiella pneumoniae subsp. pneumoniae;Levofloxacina; ;13;RS; ;F; ; ; ;R; ;0.09;40.29
