Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ; ;13;X;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ;Cefepime; ;13;X;0
 ; ; ; ; ; ; ; ; ; ;M; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ; ;0; ; ; ;Nitrofurantoina; ; ;X;0
 ; ; ; ; ; ; ; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;X;0
 ; ; ; ; ; ; ; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ampicilina;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Cefoxitina;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Nitrofurantoina;R; ;X;0
 ; ; ; ; ; ; ; ; ;0;F;NA; ;Cefazolina; ; ;X;0
 ; ; ; ; ; ; ; ; ;0;F;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ;PR;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ertapenem; ; ;X;0
 ; ; ; ; ; ; ; ;RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ;RS; ; ;NA; ; ;R;13;X;0
 ; ; ; ; ; ; ; ;RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae;Ampicilina; ; ;X;0
 ; ; ; ; ; ; ; ;RS;0; ; ; ; ;R; ;X;0
 ; ; ; ; ; ; ;13; ;0; ; ; ; ;R; ;X;78.38
 ; ; ; ; ; ; ;13; ;0; ; ; ;Cefoxitina;R; ;X;3.22
 ; ; ; ; ; ; ;13; ;0; ; ; ;Trimetoprim/Sulfametoxazol;R; ;X;3.03
 ; ; ; ; ; ; ;13;RS;0;M; ; ; ;R; ;X;28.39
 ; ; ; ; ; ;R; ; ; ; ; ; ;Cefazolina; ;13;X;1.18
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;X;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ;13;X;2.47
 ; ; ; ; ; ;R; ;RS; ; ; ; ; ; ;13;X;34.35
 ; ; ; ; ; ;R; ;RS; ;M; ; ;Ampicilina; ; ;X;1.8
 ; ; ; ; ; ;R;13; ; ; ; ; ; ; ; ;X;0
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;X;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ;Cefoxitina; ; ;X;4.09
 ; ; ; ; ; ;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;67.6
 ; ; ; ; ; ;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Meropenem; ; ;X;4.41
 ; ; ; ; ;Ampicilina; ;13; ;0; ; ; ; ;R; ;X;98.97
 ; ; ; ; ;Ampicilina;R; ;RS;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;55.47
 ; ; ; ; ;Aztreonam;R; ;RS;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;0.48
 ; ; ; ; ;Cefepime;R; ; ;0; ; ; ; ; ;13;X;51.52
 ; ; ; ; ;Cefepime;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;60.33
 ; ; ; ; ;Cefotaxima;R; ;RS; ; ; ; ; ; ; ;X;64.48
 ; ; ; ; ;Cefoxitina; ; ; ; ; ; ; ; ; ; ;X;0
 ; ; ; ; ;Cefoxitina; ; ; ; ; ; ; ; ;R; ;X;81.25
 ; ; ; ; ;Cefoxitina; ;13; ;0; ; ; ; ; ; ;X;99.86
 ; ; ; ; ;Cefoxitina; ;13; ;0; ; ; ; ;R; ;X;83.82
 ; ; ; ; ;Cefoxitina;R; ; ; ;F; ; ; ; ; ;X;43.34
 ; ; ; ; ;Cefoxitina;R; ; ;0; ; ; ; ; ; ;X;99.81
 ; ; ; ; ;Cefoxitina;R;13; ;0; ; ; ; ; ; ;X;99.96
 ; ; ; ; ;Cefoxitina;R;13; ;0; ;NA; ; ; ; ;X;99.96
 ; ; ; ; ;Ceftriaxona; ; ; ;0; ; ; ; ; ; ;X;98.9
 ; ; ; ; ;Ciprofloxacina; ; ;RS;0; ; ; ; ; ; ;X;49.51
 ; ; ; ; ;Ciprofloxacina; ;13; ;0; ; ; ; ; ; ;X;99.65
 ; ; ; ; ;Ciprofloxacina; ;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;61.21
 ; ; ; ; ;Ciprofloxacina;R;13; ;0; ; ; ; ; ; ;X;99.69
 ; ; ; ; ;Ertapenem; ; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;89.83
 ; ; ; ; ;Ertapenem; ; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;X;80.66
 ; ; ; ; ;Ertapenem; ; ; ; ; ;NA; ; ; ; ;X;0
 ; ; ; ; ;Ertapenem;R; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;92.48
 ; ; ; ; ;Ertapenem;R; ; ;0; ; ; ; ; ; ;X;99.94
 ; ; ; ; ;Ertapenem;R; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;92.46
 ; ; ; ; ;Levofloxacina; ;13; ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;60.55
 ; ; ; ; ;Meropenem;R;13; ;0; ; ; ; ; ; ;X;99.67
 ; ; ; ; ;Nitrofurantoina; ; ; ;0; ; ; ; ; ; ;X;99.93
 ; ; ; ; ;Nitrofurantoina; ; ; ;0; ;NA; ; ; ; ;X;99.93
 ; ; ; ; ;Tobramicina; ;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;60.24
 ; ; ; ; ;Trimetoprim/Sulfametoxazol; ;13; ;0;M; ; ; ;R; ;X;45.11
 ; ; ; ; ;Trimetoprim/Sulfametoxazol;R; ; ;0; ; ; ; ; ;13;X;57.49
 ; ; ; ; ;Trimetoprim/Sulfametoxazol;R; ; ;0; ;NA; ; ; ;13;X;57.49
