Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ; ;13;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ;Tobramicina;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Ertapenem; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0;M; ; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0;M;NA; ; ; ; ;0;0
 ; ; ; ; ; ; ; ;RS;0; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ;1; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ; ;13; ; ; ;NA; ; ;R; ;39.1;78.68
 ; ; ; ; ; ; ;13; ;0; ; ; ; ; ; ;49.43;99.58
 ; ; ; ; ; ;R; ; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;46.03;62.1
 ; ; ; ; ; ;R; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;46.05;62.1
 ; ; ; ; ; ;R; ; ; ; ;NA; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.46;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.47;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.48;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.49;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.52;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.55;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.56;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.57;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;74.18;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ;13;38.9;52.46
 ; ; ; ; ; ;R; ; ;0; ; ; ;Meropenem; ; ;5.21;7.02
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.46;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.47;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.48;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.49;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.52;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.56;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.57;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ;13;38.91;52.46
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ;13;38.92;52.46
 ; ; ; ; ; ;R; ; ;0;F; ; ; ; ; ;30.16;40.67
 ; ; ; ; ; ;R; ; ;0;F; ; ; ; ; ;30.2;40.67
 ; ; ; ; ; ;R; ; ;0;M; ; ; ; ; ;43.15;58.18
 ; ; ; ; ; ;R; ;PR;0; ; ; ; ; ; ;13.93;18.78
 ; ; ; ; ; ;R; ;RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;32.44;43.74
 ; ; ; ; ; ;R; ;RS; ; ;NA;Complexo Acinetobacter baumannii;Tigeciclina; ; ;0;0
 ; ; ; ; ; ;R; ;RS;0; ; ; ; ; ; ;43.65;58.84
 ; ; ; ; ; ;R; ;RS;0; ;NA; ; ; ; ;43.62;58.84
 ; ; ; ; ; ;R;1; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R;12; ;0; ; ; ;Cefotaxima; ; ;0.35;2.96
 ; ; ; ; ; ;R;13; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.89;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.91;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.92;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ;Imipenem; ; ;2.56;6.56
 ; ; ; ; ; ;R;13; ;0; ;NA; ; ; ; ;38.92;99.62
 ; ; ; ; ; ;R;13; ;0; ;NA;Complexo Acinetobacter baumannii; ; ; ;0.88;2.24
 ; ; ; ; ; ;R;13;RS;0; ; ; ;Piperacilina/Tazobactam; ; ;1.84;4.71
 ; ; ; ; ; ;S; ; ;0;M; ; ; ; ; ;13.12;57.08
 ; ; ; ; ;Amicacina; ;13; ;0; ; ; ; ;R; ;0.95;29.63
 ; ; ; ; ;Cefepime; ;13; ; ; ; ; ; ;I; ;0;0
 ; ; ; ; ;Ciprofloxacina;R; ; ;0; ;NA; ; ; ; ;5.45;99.18
 ; ; ; ; ;Ertapenem;R; ; ;0; ; ; ; ; ; ;3.22;99.94
 ; ; ; ; ;Ertapenem;R; ; ;0; ;NA; ; ; ; ;3.22;99.94
 ; ; ; ; ;Levofloxacina; ; ; ;0; ; ; ; ; ; ;4.29;98.96
 ; ; ; ; ;Meropenem;R; ; ; ; ; ; ; ; ;1;0;0
 ; ; ; ; ;Meropenem;R; ; ;0;F; ; ; ; ; ;2.09;39.83
 ; ; ; ; ;Meropenem;R;13; ;0; ; ; ; ; ; ;2.75;99.67
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ; ; ; ; ; ; ; ;0;0
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ; ; ; ; ; ;57.68;99.62
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ; ; ; ; ; ;45.97;99.81
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ; ; ; ; ; ;45.99;99.81
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ;NA; ; ; ; ;45.96;99.81
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ;NA; ; ; ; ;45.97;99.81
 ; ; ;NA; ; ; ; ; ; ; ; ; ; ;R; ;0;0
 ; ; ;NA; ; ; ; ; ; ; ; ; ;Cefalotina;R; ;0;0
 ; ; ;NA; ; ; ; ; ;0; ; ; ; ; ; ;0;0
 ; ; ;NA; ; ; ; ; ;0; ; ; ; ;R; ;0;0
 ; ; ;NA; ; ; ; ; ;0; ; ; ;Ciprofloxacina; ;13;0;0
 ; ; ;NA; ; ; ; ;RS;0; ; ; ; ; ; ;0;0
 ; ; ;NA; ; ; ;13; ; ; ; ; ; ; ; ;0;0
 ; ; ;NA; ; ; ;13; ; ; ; ; ; ;R; ;39.1;78.68
 ; ; ;NA; ; ; ;13; ;0; ; ; ;Meropenem; ; ;3.16;6.37
 ; ; ;NA; ; ;R; ; ; ; ; ; ; ; ; ;0;0
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.45;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.46;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.47;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.48;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.49;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.52;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.55;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.56;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;74.18;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;45.96;61.98
 ; ; ;NA; ; ;R; ; ;0;M; ; ; ; ; ;43.14;58.18
 ; ; ;NA; ;Meropenem; ; ; ;0; ; ; ; ; ; ;6.33;98.83
 ; ; ;NA; ;Nitrofurantoina;R; ; ;0; ; ; ; ; ; ;0.81;99.92
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ; ; ; ; ; ;57.69;99.62
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ; ; ; ;R; ;45.96;79.38
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ;0; ; ; ; ; ; ;45.97;99.81
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Levofloxacina;R; ; ;0; ; ; ; ; ; ;2.03;99.9
 ; ;F; ; ; ;R; ; ;0; ; ; ; ; ; ;30.18;99.13
 ; ;F; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;RS; ; ; ; ;Piperacilina/Tazobactam;R;13;0.61;2.4
 ; ;M; ; ; ; ; ; ;0; ; ; ; ; ; ;58.47;98.82
 ; ;M; ; ; ; ; ; ;0; ; ; ; ; ; ;58.5;98.82
 ; ;M; ; ; ; ; ; ;0; ; ; ; ; ; ;58.62;98.82
 ; ;M; ; ; ; ; ; ;0; ; ; ; ;R; ;43.15;72.9
 ; ;M; ; ; ; ; ; ;0; ;NA; ; ; ; ;58.62;98.82
 ; ;M; ; ; ; ;13; ; ; ;NA; ; ;R; ;21.75;78.6
 ; ;M; ; ; ;R; ; ; ; ; ; ; ; ; ;0;0
 ; ;M; ; ; ;R; ; ;0; ; ; ; ; ; ;43.13;99.05
 ; ;M; ; ; ;R; ; ;0; ; ; ; ; ; ;43.15;99.05
