Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;I; ;0;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ; ;13;X;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ; ; ;NA; ;Cefepime; ;13;X;0
 ; ; ; ; ; ; ; ; ; ;M; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ; ; ;M;NA; ;Sulfametoxazol/trimetoprim; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ; ;13;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ; ;R;13;0;0
 ; ; ; ; ; ; ; ; ;0; ; ; ;Nitrofurantoina; ; ;X;0
 ; ; ; ; ; ; ; ; ;0; ; ; ;Tobramicina;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;X;0
 ; ; ; ; ; ; ; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ampicilina;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ; ;13;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ; ;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Cefoxitina;R;13;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Ertapenem; ; ;0;0
 ; ; ; ; ; ; ; ; ;0; ;NA; ;Nitrofurantoina;R; ;X;0
 ; ; ; ; ; ; ; ; ;0; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0;0
 ; ; ; ; ; ; ; ; ;0;F;NA; ;Cefazolina; ; ;X;0
 ; ; ; ; ; ; ; ; ;0;F;NA;Acinetobacter baumannii;Meropenem; ;10;0;0
 ; ; ; ; ; ; ; ; ;0;F;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ; ;0;M; ; ; ; ; ;0;0
 ; ; ; ; ; ; ; ; ;0;M;NA; ; ; ; ;0;0
 ; ; ; ; ; ; ; ;AC; ;M; ;Acinetobacter sp.;Imipenem; ;1;0;0
 ; ; ; ; ; ; ; ;PR;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ertapenem; ; ;X;0
 ; ; ; ; ; ; ; ;PR;0;F; ; ;Tobramicina; ;13;0;0
 ; ; ; ; ; ; ; ;RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;0;0
 ; ; ; ; ; ; ; ;RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ;RS; ; ;NA; ; ;R;13;X;0
 ; ; ; ; ; ; ; ;RS; ;M; ;Klebsiella pneumoniae subsp. pneumoniae;Ampicilina; ; ;X;0
 ; ; ; ; ; ; ; ;RS;0; ; ; ; ;R; ;0;0
 ; ; ; ; ; ; ; ;RS;0; ; ; ; ;R; ;X;0
 ; ; ; ; ; ; ;1; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ; ;13; ; ; ;NA; ; ;R; ;39.1;78.68
 ; ; ; ; ; ; ;13; ;0; ; ; ; ; ; ;49.43;99.58
 ; ; ; ; ; ; ;13; ;0; ; ; ; ;R; ;X;78.38
 ; ; ; ; ; ; ;13; ;0; ; ; ;Cefoxitina;R; ;X;3.22
 ; ; ; ; ; ; ;13; ;0; ; ; ;Trimetoprim/Sulfametoxazol;R; ;X;3.03
 ; ; ; ; ; ; ;13; ;0;M; ;Acinetobacter baumannii; ; ; ;7.15;14.4
 ; ; ; ; ; ; ;13;RS;0;M; ; ; ;R; ;X;28.39
 ; ; ; ; ; ;R; ; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ; ; ; ; ;Cefazolina; ;13;X;1.18
 ; ; ; ; ; ;R; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;46.03;62.1
 ; ; ; ; ; ;R; ; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;46.05;62.1
 ; ; ; ; ; ;R; ; ; ; ;NA; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ; ;F; ;Klebsiella pneumoniae subsp. pneumoniae;Cefepime; ;13;0.76;1.03
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.46;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.47;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.48;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.49;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.52;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.55;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.56;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.57;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;74.18;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;X;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ;13;38.9;52.46
 ; ; ; ; ; ;R; ; ;0; ; ; ;Meropenem; ; ;5.21;7.02
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.46;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.47;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.48;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.49;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.52;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.56;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.57;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ;13;38.91;52.46
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ;13;38.92;52.46
 ; ; ; ; ; ;R; ; ;0; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ;13;X;2.47
 ; ; ; ; ; ;R; ; ;0;F; ; ; ; ; ;30.16;40.67
 ; ; ; ; ; ;R; ; ;0;F; ; ; ; ; ;30.2;40.67
 ; ; ; ; ; ;R; ; ;0;M; ; ; ; ; ;43.15;58.18
 ; ; ; ; ; ;R; ;PR;0; ; ; ; ; ; ;13.93;18.78
 ; ; ; ; ; ;R; ;RS; ; ; ; ; ; ;13;X;34.35
 ; ; ; ; ; ;R; ;RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;32.44;43.74
 ; ; ; ; ; ;R; ;RS; ; ;NA;Complexo Acinetobacter baumannii;Tigeciclina; ; ;0;0
 ; ; ; ; ; ;R; ;RS; ;M; ; ;Ampicilina; ; ;X;1.8
 ; ; ; ; ; ;R; ;RS;0; ; ; ; ; ; ;43.65;58.84
 ; ; ; ; ; ;R; ;RS;0; ;NA; ; ; ; ;43.62;58.84
 ; ; ; ; ; ;R;1; ;0; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R;10;GO;0;F;NA;Acinetobacter baumannii;Imipenem; ; ;0.01;0.26
 ; ; ; ; ; ;R;12; ;0; ; ; ;Cefotaxima; ; ;0.35;2.96
 ; ; ; ; ; ;R;13; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R;13; ; ; ; ; ; ; ; ;X;0
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.89;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.91;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.92;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;X;99.62
 ; ; ; ; ; ;R;13; ;0; ; ; ;Cefoxitina; ; ;X;4.09
 ; ; ; ; ; ;R;13; ;0; ; ; ;Imipenem; ; ;2.56;6.56
 ; ; ; ; ; ;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;67.6
 ; ; ; ; ; ;R;13; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Meropenem; ; ;X;4.41
 ; ; ; ; ; ;R;13; ;0; ;NA; ; ; ; ;38.92;99.62
 ; ; ; ; ; ;R;13; ;0; ;NA;Complexo Acinetobacter baumannii; ; ; ;0.88;2.24
 ; ; ; ; ; ;R;13;MG;0;F; ;Acinetobacter sp.; ; ; ;0.06;0.14
 ; ; ; ; ; ;R;13;RS;0; ; ; ;Piperacilina/Tazobactam; ; ;1.84;4.71
 ; ; ; ; ; ;R;13;RS;0;F; ; ;Trimetoprim/Sulfametoxazol; ; ;0.62;1.59
 ; ; ; ; ; ;R;13;RS;0;F;NA;Klebsiella pneumoniae subsp. pneumoniae;Amoxacilina/Acido Clavulanico; ; ;0.57;1.46
 ; ; ; ; ; ;R;13;RS;0;M;NA;Klebsiella pneumoniae subsp. pneumoniae;Amoxacilina/Acido Clavulanico; ; ;0.66;1.71
 ; ; ; ; ; ;S; ; ;0;M; ; ; ; ; ;13.12;57.08
 ; ; ; ; ;Amicacina; ;13; ;0; ; ; ; ;R; ;0.95;29.63
 ; ; ; ; ;Ampicilina; ; ;PR; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;0.4;9.65
 ; ; ; ; ;Ampicilina; ;13; ;0; ; ; ; ;R; ;X;98.97
 ; ; ; ; ;Ampicilina; ;13;PR;0;M;NA;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;0.23;10.59
 ; ; ; ; ;Ampicilina;R; ;RS;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;55.47
