Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ;M; ; ; ;R; ; ;0; ; ; ; ; ; ;43.16;99.05
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.51;99.08
 ;0; ; ; ; ;R; ; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
 ; ; ; ; ;Ertapenem;R; ; ;0; ; ; ; ; ; ;3.22;99.94
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.51;99.08
