Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ;0; ; ; ; ;R; ; ; ; ; ; ; ; ;13;38.92;52.95
 ; ; ;NA; ; ; ;13; ; ; ; ; ; ; ; ;0;0
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ;0; ; ; ; ; ; ;73.5;99.08
 ; ; ; ; ; ;R; ; ; ; ;NA; ; ; ; ;0;0
