Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ;NA; ; ; ; ; ;0; ; ; ; ;R; ;0;0
RS; ; ; ; ; ; ; ; ;0; ;NA; ; ; ; ;52.42;99.56
 ; ; ; ; ; ;R; ;RS;0; ;NA; ; ; ; ;43.62;58.84
 ; ; ; ; ; ;R;13; ;0; ; ; ; ; ; ;38.89;99.62
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ; ; ;NA; ; ;R; ; ;0; ; ; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ; ; ; ; ; ;R; ; ;0; ;NA; ; ; ; ;73.45;99.08
 ;0; ; ; ; ;R; ; ; ; ; ; ; ; ; ;0;0
