Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R;13; ; ; ; ; ; ; ; ;X;0
RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ;NA; ; ; ;13;X;59.32
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R;13; ;0; ; ; ; ; ; ;X;99.92
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R;13; ;0; ; ; ; ; ; ;X;99.92
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ; ; ; ; ; ; ; ; ;X;0
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13; ;0; ; ; ; ;R; ;X;81.09
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ;R;13; ;0; ; ; ; ; ; ;X;99.92
 ; ; ; ; ; ;R;13; ; ; ; ; ; ; ; ;X;0
 ; ; ; ; ; ;R; ; ; ; ; ; ;Cefazolina; ;13;X;1.18
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;RS;0; ; ; ; ; ;13;X;40.48
