Antecedentes; ; ; ; ; ; ; ;Consequentes; ; ; ; ; ; ; ;Suporte;Confianca
Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria;Estado;Agravo;Sexo;RacaCor;Agente;Antibiotico;Resistencia;FaixaEtaria
 ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina;R;13; ;0; ; ; ; ; ; ;X;99.93
 ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina;R;13; ; ; ;NA; ; ; ; ;X;0
RS; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13; ;0;F; ; ; ;R; ;X;38.16
 ;0; ; ; ; ; ; ; ; ; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ; ;X;3.52
 ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ; ;0; ;NA; ;Ciprofloxacina;R; ;X;5.41
 ; ; ;NA; ; ; ; ; ;0; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ; ; ; ;0;F;NA;Klebsiella pneumoniae subsp. pneumoniae; ; ;13;X;0
 ; ; ; ; ; ;R; ; ;0; ;NA;Klebsiella pneumoniae subsp. pneumoniae;Ciprofloxacina; ;13;X;2.47
 ; ; ;NA; ; ; ;13; ;0;F; ;Klebsiella pneumoniae subsp. pneumoniae; ;R; ;X;24.33
 ;0;F;NA; ; ; ;13; ; ; ; ;Klebsiella pneumoniae subsp. pneumoniae; ; ; ;X;67.97
